year,local,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2006,강원,42,Gangwon-do,강원도,,,,,,,,,,,,,,,,"3,997,336","3,718,405","140,387","138,544",70.2,10.48,59.74,"216,263","1,232,644","2,063,300",288,"435,300","25,929,023","31,550,828",,,,,,,26.7,75.3,12.8,"1,505,420",열린우리당,4th,김진선,한나라당,70.56,이창복,열린우리당,22.19
2006,충북,43,Chungcheongbuk-do,충청북도,,,,,,,,,,,,,,,,"2,096,495","1,799,138","139,922","157,436",69.2,12.57,56.66,"197,469","890,430","1,571,479",259,"384,999","30,434,623","36,176,510",,,,,,,31.3,76.4,11.8,"1,494,559",열린우리당,4th,정우택,한나라당,59.66,한범덕,열린우리당,30.63
2006,충남,44,Chungcheongnam-do,충청남도,,,,,,,,,,,,,,,,"2,834,021","2,385,956","213,680","234,384",81.4,19.35,62.07,"434,581","1,393,812","2,245,500",298,"585,000","55,872,369","72,238,019",,,,,,,35.3,74.1,13.7,"1,974,433",열린우리당,4th,이완구,한나라당,46.31,이명수,국민중심당,25.54
2006,전북,45,Jeollabuk-do,전라북도,,,,,,,,,,,,,,,,"2,787,199","2,363,935","137,638","285,626",81.2,16.59,64.65,"359,769","1,402,201","2,168,782",191,"359,877","28,759,657","36,053,645",,,,,,,23.9,70.1,13.5,"1,868,365",열린우리당,4th,김완주,열린우리당,48.08,정균환,민주당,36.53
2006,전남,46,Jellanam-do,전라남도,,,,,,,,,,,,,,,,"3,870,357","3,187,538","340,115","342,704",82.7,9.36,73.32,"278,613","2,182,053","2,975,979",164,"323,210","44,465,581","57,944,653",,,,,,,20.2,67.8,16.3,"1,942,925",열린우리당,4th,박준영,민주당,67.69,서범석,열린우리당,19.19
2006,경북,47,Gyeongsangbuk-do,경상북도,,,,,,,,,,,,,,,,"3,775,453","3,092,367","318,571","364,515",76.9,13.83,63.06,"383,125","1,747,522","2,771,000",223,"600,000","68,926,098","77,440,727",,,,,,,27.8,76.2,13.8,"2,688,577",열린우리당,4th,김관용,한나라당,76.8,박명재,열린우리당,23.19
2006,경남,48,Gyeongsangnam-do,경상남도,,,,,,,,,,,,,,,,"4,314,352","3,702,308","293,152","318,891",72.3,14.65,57.64,"473,100","1,861,146","3,228,823",307,"968,800","68,983,266","80,266,127",,,,,,,38.8,75,10.7,"3,172,857",열린우리당,4th,김태호,한나라당,63.12,김두관,열린우리당,25.41
2006,제주,50,Jeju-do,제주특별자치도,,,,,,,,,,,,,,,,"2,256,980","1,853,343","133,677","269,960",63.8,12.09,51.69,"101,989","436,135","843,737",444,"247,415","8,699,945","10,740,812",,,,,,,33.8,72.9,10.5,"558,496",열린우리당,4th,김태환,무소속,42.73,현명관,한나라당,41.1
2007,서울,11,Seoul,서울특별시,,,,,,,,,,,,,,,,"17,859,275","17,859,275","17,859,275","17,859,275",30.3,18.51,11.74,"2,102,098","1,334,040","11,358,500",879,"8,944,322","266,598,542","309,525,926",,,,,,,90.5,94.4,8.3,"10,192,710",열린우리당,4th,오세훈,한나라당,61.05,강금실,열린우리당,27.31
2007,부산,26,Busan,부산광역시,,,,,,,,,,,,,,,,"6,714,347","6,714,347","6,714,347","6,714,347",51.2,23.29,27.9,"887,313","1,062,800","3,809,856",554,"2,002,735","59,096,264","68,944,140",,,,,,,62.9,76.9,9.6,"3,587,439",열린우리당,4th,허남식,한나라당,65.54,오거돈,열린우리당,24.12
